Reference,Value,URL,数量,備考
"C1,C3",10uF,https://akizukidenshi.com/catalog/g/g117897/,2,
"C2,C6,C7,C8,C11,C12,C13,C17,C18,C19,C20,C21,C22,C23",0.1uF,https://akizukidenshi.com/catalog/g/g117059/,14,
C4,22uF,https://akizukidenshi.com/catalog/g/g108156/,1,
C5,470pf,https://akizukidenshi.com/catalog/g/g108130/,1,
"C9,C10,C14,C15,C16",0.22uF,https://akizukidenshi.com/catalog/g/g103096/,5,
D1,1N5818,https://www.lcsc.com/product-detail/Schottky-Diodes_STMicroelectronics-1N5818_C5220773.html?s_z=n_1N5818,1,
D2,SBM245L,https://akizukidenshi.com/catalog/g/g117439/,1,
D3,LED Power,https://akizukidenshi.com/catalog/g/g111637/,1,
"D4,D5,D6,D8,D13,D14,D19,D20",D,https://akizukidenshi.com/catalog/g/g100941/,8,
D7,LED Fuel,https://akizukidenshi.com/catalog/g/g111577/,1,
"D9,D10,D11,D12,D15,D16,D17,D18","LED Inj, LED Ign",https://akizukidenshi.com/catalog/g/g112607/,8,
J1,Connector_174917-1,https://www.lcsc.com/product-detail/Wire-To-Board-Connector_TE-Connectivity-174917-1_C5166285.html?s_z=n_174917-1,1,"入手性にやや難あり。
「174917-1」で検索すると見つかるかも。"
J2,Conn_01x03_Socket,https://akizukidenshi.com/catalog/g/g112816/,1,
"R1,R6,R7,R8,R12,R13,R14,R44,R45",470R,https://akizukidenshi.com/catalog/g/g125471/,9,
"R2,R23",10k,https://akizukidenshi.com/catalog/g/g125103/,2,
R3,120R,https://akizukidenshi.com/catalog/g/g125121/,1,
"R4,R9,R15,R16,R20,R21,R22,R25,R26,R28,R29,R32,R33,R34,R35,R38,R39,R40,R41,R46",1k,https://akizukidenshi.com/catalog/g/g125102/,19,
R5,3.9k,https://akizukidenshi.com/catalog/g/g125392/,1,
"R10,R11,R27",2.49k,https://jp.rs-online.com/web/p/through-hole-resistors/7549032?searchId=6ebdad6c-f0a2-485c-b86c-284c66e70a2a&gb=s,3,
"R17,R18",220R,https://akizukidenshi.com/catalog/g/g125221/,2,
R19,22K,https://akizukidenshi.com/catalog/g/g125223/,1,
"R24,R30,R31,R47,R48",100k,https://akizukidenshi.com/catalog/g/g125104/,7,
"R36,R37,R42,R43",3.3k,https://akizukidenshi.com/catalog/g/g125332/,4,
"RN1,RN2",100k,https://lcsc.com/product-detail/image/A05-104JP_C11398.html,,
RN3,3k,https://lcsc.com/product-detail/image/A05-302JP_C56024.html,1,
RV1,Varistor,https://lcsc.com/product-detail/Varistors_RUILON-Shenzhen-Ruilongyuan-Elec-14D220K_C43370767.html?s_z=n_14D220K,1,
SW1,SW_Slide,https://akizukidenshi.com/catalog/g/g115643/,1,
U1,Mega 2560 Pro,Mega 2560 Pro,1,Aliexpressなどで入手可能。
U2,IC_Automotive_MC33814,https://lcsc.com/product-detail/Power-Management-Specialized_NXP-Semicon-MC33814AER2_C729078.html?s_z=n_MC33814,1,
U3,BP5293-50,https://akizukidenshi.com/catalog/g/g111188/,1,
U4,KP234XTMA1,https://www.lcsc.com/product-detail/Pressure-Sensors_Infineon-Technologies-KP234XTMA1_C3239348.html?s_z=n_KP234,1,
U5,SP720,https://www.lcsc.com/product-detail/ESD-and-Surge-Protection-TVS-ESD_Littelfuse-SP720ABG_C5299847.html?s_z=n_SP720,1,
"U6,U8,U9,U11",VNLD5090,https://www.lcsc.com/product-detail/Power-Distribution-Switches_STMicroelectronics-VNLD5090TR-E_C222209.html?s_z=n_VNLD5090,4,
U7,VN5160S-E,https://www.lcsc.com/product-detail/Power-Distribution-Switches_STMicroelectronics-VN5160S-E_C262998.html?s_z=n_VN5160S-E,1,
"U10,U12",TC4424A,https://www.lcsc.com/product-detail/Gate-Drivers_Microchip-Tech-TC4424AVOA_C636876.html?s_z=n_TC4424A,2,
"U13,U14",TLP241A,https://akizukidenshi.com/catalog/g/g111516/,2,
